Seat No.,Exam Name,Student Name,College Name,Enrollment No.,SP ID,Subject Name,Ext Marks,Internal Marks,Total Marks,GL,GP,Credit,Total Outoff,SGPA/YGPA,Result
15,BCA Semester Exam,Rohan Sen,ABC College,Y9QQ578NWP,428426,Mathematics,7,23,30,E,9.53,1,100,5.17,FAIL
16,BCA Semester Exam,Rohan Kumar,Global Science College,XVD0T5AF1D,264569,C Programming,54,4,58,C,9.04,4,100,6.51,PASS
17,BCA Semester Exam,Heena Sen,XYZ Institute,AQ8LPJICBX,243582,Machine Learning,68,19,87,D,5.62,5,100,4.91,PASS
18,BCA Semester Exam,Karan Sen,XYZ Institute,KKHQCYWZBP,252685,Mathematics,46,22,68,D,5.04,1,100,8.4,PASS
19,BCA Semester Exam,Rohan Rana,XYZ Institute,HXSJ27216S,416388,Artificial Intelligence,2,5,7,F,8.66,1,100,8.07,FAIL
20,BCA Semester Exam,Divya Joshi,Global Science College,0D7HCWA27L,918964,Web Technology,39,9,48,F,6.06,2,100,9.25,PASS
21,BCA Semester Exam,Manoj Rana,Paramount Institute,VX12XIEATW,483405,Software Engineering,9,22,31,E,7.75,4,100,5.94,FAIL
22,BCA Semester Exam,Rohan Gupta,Global Science College,H7Y4SZQ6GA,807880,Computer Fundamentals,14,26,40,D,5.87,2,100,8.05,PASS
23,BCA Semester Exam,Rohan Gupta,Royal Academy,OEPD1ZCM8H,980163,Digital Electronics,22,13,35,C,4.99,5,100,8.82,FAIL
24,BCA Semester Exam,Neha Gupta,Paramount Institute,ON7HCR6O2M,389048,Mobile App Development,21,3,24,C,9.7,4,100,7.81,FAIL
25,BCA Semester Exam,Priya Chauhan,ABC College,Z2TWAYFCR1,695555,PHP & MySQL,15,10,25,B,6.05,5,100,6.57,FAIL
26,BCA Semester Exam,Neha Mehta,XYZ Institute,753MXME5TC,138784,IoT,2,24,26,F,5.14,2,100,7.12,FAIL
27,BCA Semester Exam,Amit Mehta,Royal Academy,AE28J4Z3J0,701631,Artificial Intelligence,20,9,29,D,4.33,5,100,9.38,FAIL
28,BCA Semester Exam,Neha Mehta,Global Science College,WJ5UWLDUF0,128048,Java Programming,53,23,76,A,6.73,4,100,9.11,PASS
29,BCA Semester Exam,Heena Mehta,Royal Academy,1OLVOEGPN6,833800,Unix/Linux Programming,16,30,46,A,7.21,1,100,7.2,PASS
30,BCA Semester Exam,Karan Sen,ABC College,AI48PVPELA,383771,Unix/Linux Programming,42,29,71,A,8.64,2,100,7.74,PASS
31,BCA Semester Exam,Karan Tiwari,Bright Future College,E2VWRV1SM5,491996,Big Data,59,18,77,B,4.7,5,100,6.08,PASS
32,BCA Semester Exam,Priya Gupta,Sunshine Institute,TQWO52QUU3,535707,E-Commerce,45,13,58,F,5.24,1,100,4.25,PASS
33,BCA Semester Exam,Divya Chauhan,Global Science College,4AHNIRI784,529373,Big Data,36,29,65,A,8.55,5,100,4.87,PASS
34,BCA Semester Exam,Suresh Rana,Bright Future College,6IZ7HC05GW,171513,Python Programming,65,18,83,C,7.5,1,100,9.07,PASS
35,BCA Semester Exam,Divya Shah,Royal Academy,D30G24PKKR,758529,Cloud Computing,16,30,46,B,4.54,2,100,4.13,PASS
36,BCA Semester Exam,Amit Shah,Bright Future College,1ULN0WVO8Z,791880,Software Engineering,58,19,77,E,5.58,3,100,8.08,PASS
37,BCA Semester Exam,Heena Joshi,Paramount Institute,3NTTUI019C,749419,Big Data,42,21,63,D,6.63,4,100,6.35,PASS
38,BCA Semester Exam,Neha Kumar,Royal Academy,TJENVYGS1Y,250814,Computer Fundamentals,30,19,49,C,4.55,2,100,7.43,PASS
39,BCA Semester Exam,Suresh Kumar,Royal Academy,3QTV9W2MET,239624,Artificial Intelligence,66,8,74,D,7.87,1,100,6.3,PASS
40,BCA Semester Exam,Rohan Patel,XYZ Institute,0RRZ0B18XZ,576548,Artificial Intelligence,66,10,76,C,6.96,2,100,6.77,PASS
41,BCA Semester Exam,Priya Kumar,Royal Academy,CYWIYREHLB,113002,Mobile App Development,17,14,31,E,4.91,5,100,7.96,FAIL
42,BCA Semester Exam,Divya Rana,ABC College,WYZ81ORWBA,788490,Software Engineering,53,4,57,B,8.53,4,100,6.82,PASS
43,BCA Semester Exam,Karan Rana,Global Science College,SSZGP03POY,515398,Mathematics,53,13,66,A,6.67,1,100,9.53,PASS
44,BCA Semester Exam,Divya Shah,Paramount Institute,9DA5KQ1S0S,655965,DBMS,43,22,65,A,8.25,2,100,8.3,PASS
45,BCA Semester Exam,Divya Joshi,XYZ Institute,VGPCBD6WJ4,136652,Mathematics,27,24,51,E,9.63,4,100,4.76,PASS
46,BCA Semester Exam,Amit Kumar,XYZ Institute,D1R2IUMHA1,816345,Artificial Intelligence,35,2,37,B,6.91,2,100,6.33,FAIL
47,BCA Semester Exam,Divya Shah,Global Science College,8IBZVHOA17,927727,Big Data,62,1,63,C,7.86,3,100,9.57,PASS
48,BCA Semester Exam,Divya Chauhan,ABC College,1M766ESI9S,499006,Cyber Security,52,30,82,B,5.19,4,100,7.59,PASS
49,BCA Semester Exam,Rohan Sen,Global Science College,MSAPLGVIT2,807140,PHP & MySQL,67,13,80,B,7.93,3,100,8.4,PASS
50,BCA Semester Exam,Sneha Patel,XYZ Institute,US12VFSMDX,886689,Data Analytics,11,5,16,D,7.83,2,100,8.36,FAIL
51,BCA Semester Exam,Divya Patel,ABC College,GMGSRGPH3B,578972,Computer Networks,32,15,47,D,9.96,5,100,4.96,PASS
52,BCA Semester Exam,Rohan Kumar,Sunshine Institute,QLTO3ZLP57,126888,Big Data,29,21,50,A,4.97,4,100,8.98,PASS
53,BCA Semester Exam,Divya Patel,XYZ Institute,56D60Y792B,633934,Unix/Linux Programming,30,4,34,C,7.48,2,100,5.37,FAIL
54,BCA Semester Exam,Manoj Shah,Paramount Institute,ITMNHZSK5U,864784,Web Technology,33,2,35,B,4.23,2,100,5.02,FAIL
55,BCA Semester Exam,Manoj Joshi,Sunshine Institute,SJWT5O0AN8,358947,PHP & MySQL,40,15,55,A,5.2,5,100,8.79,PASS
56,BCA Semester Exam,Neha Kumar,Sunshine Institute,0HB0N9Q1FQ,198805,Machine Learning,45,0,45,F,7.85,5,100,4.99,PASS
57,BCA Semester Exam,Manoj Patel,Global Science College,KRZ0FR25P9,250725,IoT,48,7,55,D,6.89,2,100,7.19,PASS
58,BCA Semester Exam,Manoj Shah,Global Science College,ZJWV1WGU74,396351,DBMS,66,11,77,E,7.35,4,100,9.04,PASS
59,BCA Semester Exam,Divya Kumar,Bright Future College,RFZ614GWZP,971785,E-Commerce,16,12,28,C,7.44,2,100,6.49,FAIL
60,BCA Semester Exam,Manoj Mehta,Sunshine Institute,QNQXL7MPOD,331861,Big Data,57,19,76,C,8.87,4,100,9.24,PASS
61,BCA Semester Exam,Neha Rana,Royal Academy,30C48EW5M6,992200,Software Engineering,66,12,78,B,5.78,2,100,7.22,PASS
62,BCA Semester Exam,Amit Tiwari,ABC College,ZFTZ868E3X,969617,Digital Electronics,57,1,58,F,7.52,2,100,8.03,PASS
63,BCA Semester Exam,Suresh Chauhan,Bright Future College,2EPADOHK85,352057,Data Analytics,63,3,66,C,7.68,4,100,5.97,PASS
64,BCA Semester Exam,Rohan Sen,Sunshine Institute,P0DRMDHQ6O,274186,PHP & MySQL,66,8,74,C,7.27,2,100,9.61,PASS
65,BCA Semester Exam,Heena Rana,Royal Academy,0SL66SCB1V,186909,Data Structures,22,28,50,C,8.02,1,100,5.62,PASS
66,BCA Semester Exam,Divya Shah,XYZ Institute,58GIXABGAO,853441,Machine Learning,45,6,51,C,8.14,2,100,8.43,PASS
67,BCA Semester Exam,Amit Gupta,Bright Future College,04WZJEZ2TL,159864,Machine Learning,15,16,31,D,8.02,3,100,8.86,FAIL
68,BCA Semester Exam,Priya Kumar,XYZ Institute,L345Q3APUC,749512,E-Commerce,42,3,45,F,9.17,3,100,4.07,PASS
69,BCA Semester Exam,Amit Shah,Bright Future College,OJ8SR1M8QP,152320,Data Structures,62,17,79,F,8.85,2,100,4.22,PASS
70,BCA Semester Exam,Karan Sen,Paramount Institute,ATDJVQJAKA,100636,Big Data,25,6,31,A,5.01,5,100,7.02,FAIL
71,BCA Semester Exam,Manoj Sen,Royal Academy,B7VNCEZE0A,553729,Mathematics,47,28,75,E,9.55,4,100,5.96,PASS
72,BCA Semester Exam,Neha Sen,Paramount Institute,AF5YGSCZ4N,405721,Operating Systems,2,7,9,B,4.2,4,100,5.72,FAIL
73,BCA Semester Exam,Priya Chauhan,Sunshine Institute,OGI19X3X0T,334439,.NET Technology,62,17,79,A,7.65,4,100,5.98,PASS
74,BCA Semester Exam,Manoj Sen,Sunshine Institute,FVMC3KSQWB,376566,.NET Technology,1,8,9,D,9.26,2,100,4.91,FAIL
75,BCA Semester Exam,Sneha Kumar,Global Science College,T8DPJH4G1F,486799,IoT,18,24,42,B,9.05,1,100,8.95,PASS
76,BCA Semester Exam,Heena Mehta,Paramount Institute,J897CFAESV,244955,Unix/Linux Programming,26,12,38,B,8.71,1,100,4.28,FAIL
77,BCA Semester Exam,Divya Joshi,Global Science College,1M8AYRO6KN,570401,Java Programming,43,23,66,B,4.27,4,100,6.21,PASS
78,BCA Semester Exam,Neha Chauhan,Sunshine Institute,GPMMNJXPBX,342096,Mobile App Development,40,20,60,F,9.55,2,100,4.53,PASS
79,BCA Semester Exam,Priya Shah,XYZ Institute,6WZE59N5DB,178764,C++ Programming,42,29,71,F,8.01,5,100,4.32,PASS
80,BCA Semester Exam,Divya Joshi,ABC College,P7CH48EKQJ,729241,Mobile App Development,60,19,79,B,8.48,3,100,9.17,PASS
81,BCA Semester Exam,Priya Rana,Paramount Institute,5IC5ORJTID,892662,Machine Learning,17,9,26,D,7.08,4,100,7.85,FAIL
82,BCA Semester Exam,Suresh Shah,XYZ Institute,FMKJJZADDR,946166,Java Programming,65,23,88,C,9.45,2,100,6.74,PASS
83,BCA Semester Exam,Suresh Gupta,Sunshine Institute,0D7J9UCJ79,986669,IoT,20,26,46,C,7.64,4,100,7.63,PASS
84,BCA Semester Exam,Amit Chauhan,ABC College,9CS32IVOWF,432067,Cloud Computing,36,6,42,F,7.01,2,100,4.4,PASS
85,BCA Semester Exam,Heena Gupta,ABC College,3XKGWE7XFF,818215,PHP & MySQL,36,10,46,F,7.94,5,100,8.32,PASS
86,BCA Semester Exam,Priya Kumar,Sunshine Institute,IJ2EVIOVEF,365582,Mathematics,67,3,70,E,5.87,4,100,9.16,PASS
87,BCA Semester Exam,Sneha Shah,Global Science College,F93RDXC89C,154462,Unix/Linux Programming,16,14,30,F,5.68,1,100,6.92,FAIL
88,BCA Semester Exam,Divya Mehta,XYZ Institute,9BEGKL718Z,633992,Computer Networks,18,23,41,D,4.21,5,100,5.07,PASS
89,BCA Semester Exam,Divya Gupta,Bright Future College,O4XI7ZVKGM,676927,Computer Networks,32,14,46,A,4.96,3,100,6.7,PASS
90,BCA Semester Exam,Heena Gupta,XYZ Institute,097ZK4VOW9,848017,Cloud Computing,50,2,52,A,5.53,3,100,4.22,PASS
91,BCA Semester Exam,Suresh Gupta,Global Science College,AKH5I86FVH,915090,C++ Programming,40,5,45,E,5.03,5,100,9.76,PASS
92,BCA Semester Exam,Heena Sen,Global Science College,FYSS1S8JM6,635649,Data Analytics,19,2,21,D,7.06,1,100,9.66,FAIL
93,BCA Semester Exam,Heena Patel,Sunshine Institute,3X7BB55AGI,219727,.NET Technology,66,24,90,B,9.65,4,100,6.28,PASS
94,BCA Semester Exam,Amit Tiwari,Royal Academy,M74RXXYW2R,260556,Software Engineering,13,2,15,C,4.07,5,100,6.05,FAIL
95,BCA Semester Exam,Priya Rana,Royal Academy,Y4MQLSJWW5,444619,Artificial Intelligence,31,30,61,E,9.43,4,100,9.92,PASS
96,BCA Semester Exam,Priya Chauhan,Royal Academy,2JO77Q0CUK,806751,Big Data,70,9,79,C,7.94,1,100,4.56,PASS
97,BCA Semester Exam,Suresh Chauhan,Royal Academy,PZ2CIDJ9IE,679587,Operating Systems,22,3,25,F,6.51,4,100,4.38,FAIL
98,BCA Semester Exam,Neha Rana,Global Science College,H96CZHBU1W,712169,Big Data,4,8,12,F,7.81,1,100,5.06,FAIL
99,BCA Semester Exam,Heena Mehta,Royal Academy,YCTEP15IFO,474832,.NET Technology,11,1,12,D,8.75,2,100,5.57,FAIL
100,BCA Semester Exam,Neha Mehta,Bright Future College,095ANSXB4H,697636,Unix/Linux Programming,48,0,48,A,6.36,1,100,6.77,PASS
101,BCA Semester Exam,Heena Gupta,Paramount Institute,7XTB4X0INY,553931,Operating Systems,41,10,51,C,6.87,2,100,5.08,PASS
102,BCA Semester Exam,Amit Gupta,XYZ Institute,490LWE0D7M,251884,Mobile App Development,48,2,50,C,5.34,4,100,4.93,PASS
103,BCA Semester Exam,Divya Rana,ABC College,AX1MA856J3,509443,Mobile App Development,39,30,69,A,5.55,2,100,9.31,PASS
104,BCA Semester Exam,Divya Rana,Global Science College,TU52UL8XL6,520357,Computer Fundamentals,47,6,53,C,5.95,3,100,5.5,PASS
105,BCA Semester Exam,Sneha Joshi,ABC College,H2FAR0OS4O,447268,C Programming,28,2,30,F,4.25,2,100,5.46,FAIL
106,BCA Semester Exam,Divya Rana,Royal Academy,IXX2FEX6AM,274999,Computer Networks,70,11,81,B,5.48,4,100,9.05,PASS
107,BCA Semester Exam,Heena Kumar,Sunshine Institute,A37Z7F27DZ,308551,Mobile App Development,7,0,7,F,9.69,1,100,6.37,FAIL
108,BCA Semester Exam,Neha Kumar,ABC College,MA9C2AUM0I,936285,Digital Electronics,27,26,53,D,9.82,5,100,4.04,PASS
109,BCA Semester Exam,Amit Mehta,XYZ Institute,YIRVJ5QZON,235351,Unix/Linux Programming,7,29,36,A,4.92,3,100,5.7,FAIL
110,BCA Semester Exam,Karan Joshi,Paramount Institute,6IHBTTWTG8,270652,IoT,40,7,47,C,6.06,4,100,9.18,PASS
111,BCA Semester Exam,Amit Patel,XYZ Institute,3GSVVTJACQ,165519,Artificial Intelligence,22,27,49,F,4.49,4,100,6.11,PASS
112,BCA Semester Exam,Divya Chauhan,ABC College,84D3S8MMNB,848780,Mathematics,9,17,26,E,8.34,3,100,4.18,FAIL
113,BCA Semester Exam,Sneha Rana,Paramount Institute,W035YPRARV,430661,Computer Fundamentals,59,24,83,A,7.86,2,100,7.0,PASS
114,BCA Semester Exam,Heena Tiwari,Sunshine Institute,OHA4V8A294,445766,Big Data,39,9,48,D,6.51,2,100,8.79,PASS
115,BCA Semester Exam,Heena Chauhan,Royal Academy,R7ZO6U52Y0,634011,Artificial Intelligence,19,16,35,E,7.93,5,100,9.38,FAIL
116,BCA Semester Exam,Neha Gupta,Sunshine Institute,4J0BVLL8FW,779160,Data Structures,3,13,16,A,9.88,3,100,4.53,FAIL
117,BCA Semester Exam,Amit Rana,Bright Future College,JFZU4QR32U,863040,Software Engineering,43,14,57,D,5.86,2,100,8.86,PASS
118,BCA Semester Exam,Priya Shah,Bright Future College,LKESHLKXYO,472799,Data Structures,63,29,92,B,6.58,1,100,4.67,PASS
119,BCA Semester Exam,Rohan Joshi,Royal Academy,I8HGIF6Q3E,268041,Software Engineering,65,12,77,A,9.96,3,100,5.87,PASS
120,BCA Semester Exam,Suresh Shah,Paramount Institute,Q9LYYLKVFN,372259,Cloud Computing,49,18,67,A,7.89,3,100,6.01,PASS
121,BCA Semester Exam,Sneha Mehta,Royal Academy,V4TJOIVRAS,681693,Artificial Intelligence,62,15,77,D,4.17,1,100,6.36,PASS
122,BCA Semester Exam,Suresh Shah,XYZ Institute,2MP4UUDZQU,663655,Computer Fundamentals,1,26,27,E,7.32,4,100,8.03,FAIL
123,BCA Semester Exam,Neha Sen,Paramount Institute,4Y6V2N0P3U,290290,Computer Networks,20,4,24,F,4.7,4,100,6.6,FAIL
124,BCA Semester Exam,Rohan Shah,ABC College,U200DSK0VR,723622,Unix/Linux Programming,60,3,63,D,6.01,2,100,4.27,PASS
125,BCA Semester Exam,Suresh Gupta,Bright Future College,MPRYC4R4SJ,188035,Artificial Intelligence,0,16,16,F,9.81,3,100,4.32,FAIL
126,BCA Semester Exam,Neha Chauhan,Sunshine Institute,K25KQHZ9RP,554186,C++ Programming,33,8,41,C,6.08,2,100,9.48,PASS
127,BCA Semester Exam,Sneha Rana,Global Science College,E9TP0SR0RT,634583,Computer Networks,21,24,45,C,5.74,5,100,9.18,PASS
128,BCA Semester Exam,Priya Gupta,Royal Academy,Y0QW9TMJP7,721904,Computer Networks,25,28,53,A,8.54,3,100,9.98,PASS
129,BCA Semester Exam,Karan Tiwari,XYZ Institute,D279SVKFII,693027,Big Data,39,5,44,A,6.17,3,100,4.99,PASS
130,BCA Semester Exam,Neha Chauhan,ABC College,K8GN6ZJB83,988990,Java Programming,70,8,78,D,5.63,5,100,4.64,PASS
131,BCA Semester Exam,Rohan Shah,Royal Academy,1BBLZH5PC0,909261,Software Engineering,67,3,70,B,8.64,1,100,6.5,PASS
132,BCA Semester Exam,Suresh Gupta,Paramount Institute,6BOM03WKII,129961,Python Programming,48,30,78,E,9.82,3,100,7.73,PASS
133,BCA Semester Exam,Rohan Patel,Global Science College,REBM9WLV3G,583150,Artificial Intelligence,40,19,59,E,8.62,4,100,4.15,PASS
134,BCA Semester Exam,Suresh Gupta,XYZ Institute,SGQUB0GW7A,127577,C Programming,41,7,48,C,8.18,1,100,4.36,PASS
135,BCA Semester Exam,Heena Joshi,Global Science College,ISAUZBAOXQ,383669,Operating Systems,65,19,84,D,6.81,3,100,4.41,PASS
136,BCA Semester Exam,Manoj Joshi,Paramount Institute,XKQ27XIY7Y,107681,.NET Technology,10,21,31,A,4.43,3,100,8.46,FAIL
137,BCA Semester Exam,Manoj Tiwari,ABC College,EKB4LTP8MP,751726,Data Structures,14,13,27,A,6.72,2,100,5.7,FAIL
138,BCA Semester Exam,Karan Tiwari,Bright Future College,RSLI7YH11D,866646,Machine Learning,50,6,56,B,4.87,3,100,9.14,PASS
139,BCA Semester Exam,Manoj Joshi,Royal Academy,FFUPEGX4BL,541141,Artificial Intelligence,13,16,29,F,9.81,3,100,5.14,FAIL
140,BCA Semester Exam,Amit Tiwari,Paramount Institute,Y7RHGLHVJV,438572,IoT,1,9,10,C,9.93,2,100,8.3,FAIL
141,BCA Semester Exam,Priya Chauhan,Paramount Institute,9CVYYTRUSP,140241,Big Data,39,17,56,C,8.9,5,100,4.07,PASS
142,BCA Semester Exam,Priya Kumar,Royal Academy,ZMMJSAPRMJ,500537,Computer Networks,32,9,41,B,4.03,5,100,8.91,PASS
143,BCA Semester Exam,Karan Rana,Sunshine Institute,4CV32FC81E,723016,Computer Fundamentals,30,19,49,A,4.32,4,100,5.38,PASS
144,BCA Semester Exam,Amit Chauhan,XYZ Institute,BK7D82HJ95,109032,Artificial Intelligence,2,11,13,E,8.12,4,100,9.03,FAIL
145,BCA Semester Exam,Suresh Shah,Paramount Institute,NDQIZWQDV0,767418,Software Engineering,6,28,34,A,5.36,1,100,8.34,FAIL
146,BCA Semester Exam,Suresh Rana,Sunshine Institute,0XX77PZ9JH,882777,Unix/Linux Programming,0,6,6,E,9.25,4,100,8.4,FAIL
147,BCA Semester Exam,Amit Joshi,Paramount Institute,YEZV0MGLMP,199212,Computer Networks,35,26,61,A,5.03,1,100,9.82,PASS
148,BCA Semester Exam,Suresh Tiwari,Paramount Institute,JCRF7QXSIU,484404,Data Structures,38,17,55,A,4.49,5,100,7.0,PASS
149,BCA Semester Exam,Rohan Rana,Royal Academy,WVUV686EHY,694037,Cyber Security,66,19,85,F,5.12,1,100,6.14,PASS
150,BCA Semester Exam,Neha Shah,Royal Academy,8BRGQNTLOX,964564,PHP & MySQL,32,20,52,D,8.47,5,100,8.2,PASS
151,BCA Semester Exam,Priya Kumar,Paramount Institute,FKBDZ3SAT4,308986,Artificial Intelligence,51,18,69,B,7.97,2,100,9.18,PASS
152,BCA Semester Exam,Manoj Gupta,Global Science College,E5M1X5WS9V,805481,Unix/Linux Programming,48,19,67,A,4.64,3,100,6.97,PASS
153,BCA Semester Exam,Neha Kumar,Global Science College,VUUCLY326Z,864134,C Programming,45,19,64,F,9.39,3,100,8.26,PASS
154,BCA Semester Exam,Amit Tiwari,Paramount Institute,3IUBBN5UGZ,283317,IoT,56,23,79,A,9.05,3,100,9.33,PASS
155,BCA Semester Exam,Rohan Joshi,Bright Future College,U2BHSW4FT9,307460,C Programming,70,28,98,D,5.21,4,100,8.83,PASS
156,BCA Semester Exam,Divya Chauhan,Bright Future College,R7RP9N2GSM,604846,Computer Networks,29,23,52,F,8.43,3,100,9.02,PASS
157,BCA Semester Exam,Suresh Sen,Paramount Institute,4NCYZ9GBWO,734574,IoT,19,26,45,F,7.66,5,100,6.92,PASS
158,BCA Semester Exam,Divya Rana,Global Science College,CTOE5FZF7H,252370,Java Programming,66,14,80,E,9.71,5,100,4.06,PASS
159,BCA Semester Exam,Rohan Chauhan,ABC College,ODDLNURKW7,427589,C++ Programming,54,3,57,D,4.96,5,100,5.74,PASS
160,BCA Semester Exam,Heena Kumar,Sunshine Institute,M1Z6TD6UBU,681070,Artificial Intelligence,48,28,76,D,5.84,4,100,7.2,PASS
161,BCA Semester Exam,Heena Mehta,Global Science College,STKOJCEFDI,811264,Software Engineering,64,13,77,F,9.04,2,100,9.68,PASS
162,BCA Semester Exam,Suresh Mehta,Bright Future College,PPWTQWV0LW,119077,Operating Systems,24,23,47,C,8.01,5,100,5.71,PASS
163,BCA Semester Exam,Divya Mehta,ABC College,ZEJ28YNH11,125199,E-Commerce,13,0,13,D,9.98,1,100,8.5,FAIL
164,BCA Semester Exam,Neha Sen,XYZ Institute,HLVW45KGQL,683167,Java Programming,10,22,32,D,9.68,4,100,4.84,FAIL
165,BCA Semester Exam,Karan Gupta,ABC College,HYDS1DOP0S,215402,Big Data,54,25,79,B,8.06,4,100,4.72,PASS
166,BCA Semester Exam,Divya Patel,Royal Academy,97IRGNST53,437962,Mathematics,8,11,19,A,7.83,5,100,8.85,FAIL
167,BCA Semester Exam,Sneha Sen,XYZ Institute,V5A92XYHXJ,195796,Data Analytics,29,29,58,A,4.06,1,100,7.56,PASS
168,BCA Semester Exam,Amit Mehta,Sunshine Institute,AB9CITS76R,538494,.NET Technology,58,5,63,C,7.11,2,100,5.26,PASS
169,BCA Semester Exam,Rohan Mehta,ABC College,78561KQQ31,147004,Data Structures,69,29,98,F,8.15,2,100,6.64,PASS
170,BCA Semester Exam,Manoj Chauhan,Royal Academy,ZP9GIDH5P4,479613,Mobile App Development,70,29,99,D,9.51,2,100,9.63,PASS
171,BCA Semester Exam,Karan Chauhan,Paramount Institute,61SDFU8XGH,154842,Unix/Linux Programming,51,6,57,D,5.04,4,100,8.25,PASS
172,BCA Semester Exam,Sneha Kumar,Sunshine Institute,5J9I2CQFJS,238979,Mobile App Development,29,19,48,F,4.8,4,100,9.28,PASS
173,BCA Semester Exam,Divya Kumar,Bright Future College,S3N8DUA8EE,732081,DBMS,32,23,55,A,6.64,4,100,6.05,PASS
174,BCA Semester Exam,Divya Kumar,Bright Future College,3APKIHDNXF,664294,Computer Fundamentals,8,5,13,A,5.42,4,100,8.73,FAIL
175,BCA Semester Exam,Priya Joshi,Paramount Institute,FE0P2Y3RO5,175997,.NET Technology,37,5,42,F,9.87,3,100,4.45,PASS
176,BCA Semester Exam,Priya Joshi,Global Science College,Z90M1N0S7W,485090,DBMS,1,18,19,F,4.47,4,100,6.94,FAIL
177,BCA Semester Exam,Suresh Joshi,Paramount Institute,I8VKLXNTNZ,825492,E-Commerce,17,11,28,E,8.12,5,100,4.93,FAIL
178,BCA Semester Exam,Manoj Tiwari,Paramount Institute,28F4L6CXP4,291210,C++ Programming,40,28,68,B,8.91,3,100,5.34,PASS
179,BCA Semester Exam,Sneha Gupta,Royal Academy,QAPZ7IH4JX,616828,Data Structures,63,11,74,B,7.63,1,100,8.88,PASS
180,BCA Semester Exam,Karan Tiwari,XYZ Institute,A3C6WH9V9I,449607,Unix/Linux Programming,48,3,51,F,5.55,5,100,7.11,PASS
181,BCA Semester Exam,Priya Mehta,ABC College,RKF4R5HCDZ,431639,Python Programming,3,4,7,E,4.57,2,100,5.84,FAIL
182,BCA Semester Exam,Sneha Gupta,Royal Academy,UW47E0W5ZD,660600,DBMS,39,24,63,E,6.32,4,100,6.38,PASS
183,BCA Semester Exam,Heena Shah,Sunshine Institute,A16PZ4E1UD,561291,Data Analytics,28,3,31,D,8.69,4,100,9.09,FAIL
184,BCA Semester Exam,Suresh Joshi,Royal Academy,REET4LJPI6,893995,Computer Fundamentals,19,27,46,E,5.62,4,100,8.82,PASS
185,BCA Semester Exam,Suresh Rana,Royal Academy,7ILC7VD24Y,710272,E-Commerce,23,13,36,C,5.27,4,100,5.6,FAIL
186,BCA Semester Exam,Karan Shah,Bright Future College,XU11FIWBIP,381077,Data Analytics,5,6,11,C,9.5,3,100,5.06,FAIL
187,BCA Semester Exam,Sneha Shah,XYZ Institute,T408B5KS3H,810589,PHP & MySQL,8,13,21,D,7.69,3,100,9.89,FAIL
188,BCA Semester Exam,Divya Gupta,Paramount Institute,MOI9F8D0GJ,508837,Big Data,24,26,50,A,5.73,1,100,8.14,PASS
189,BCA Semester Exam,Amit Tiwari,XYZ Institute,P9JA4VE2XR,201609,C Programming,40,13,53,A,8.46,5,100,8.85,PASS
190,BCA Semester Exam,Priya Joshi,ABC College,80WEL8BYSB,938611,DBMS,14,26,40,D,9.01,3,100,8.43,PASS
